ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,"Image-URL-L"""""",,,,,,,,,,,,,,,,,,,,,",pdf_link
0849943450,The Canopy,Angela Elwell Hunt,2003,WestBow Press,http://images.amazon.com/images/P/0849943450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0849943450.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0849943450.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=iEvaaYXfUpUC&hl=&source=gbs_api
042517736X,Abduction,Robin Cook,2000,Berkley Publishing Group,http://images.amazon.com/images/P/042517736X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042517736X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/042517736X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=gcXr7LTeYiQC&hl=&source=gbs_api
193072229X,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004,Inner Ocean Publishing,http://images.amazon.com/images/P/193072229X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/193072229X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/193072229X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=LVJ8AAAAQBAJ&hl=&source=gbs_api
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=Ia5XBAAAQBAJ&hl=&source=gbs_api
0671525832,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket,http://images.amazon.com/images/P/0671525832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671525832.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671525832.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=RKLJ4PuD0Y8C&hl=&source=gbs_api
0811203220,Stand Still Like the Hummingbird,Henry Miller,1962,New Directions Publishing Corporation,http://images.amazon.com/images/P/0811203220.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811203220.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0811203220.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=1Pr2wywtSjAC&hl=&source=gbs_api
0684717255,I And Thou,Martin Buber,1971,Free Press,http://images.amazon.com/images/P/0684717255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684717255.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0684717255.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=-9yYEAAAQBAJ&hl=&source=gbs_api
0486272745,The Prince (Dover Thrift Editions),NiccolÃ² Machiavelli,1992,Dover Publications,http://images.amazon.com/images/P/0486272745.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486272745.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486272745.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=lmDcDAAAQBAJ&hl=&source=gbs_api
8807120194,"Sarajevo"","" maybe (Anni Novanta/Feltrinelli)",Gianfranco Bettin,1994,Feltrinelli,http://images.amazon.com/images/P/8807120194.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8807120194.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/8807120194.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=QJKBsgLerZQC&hl=&source=gbs_api
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books,http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=XG6-eP4-UxsC&hl=&source=gbs_api
0395877563,Seven Moves,Carol Anshaw,1997,Mariner Books,http://images.amazon.com/images/P/0395877563.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395877563.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0395877563.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=cNdtp4e0GbQC&hl=&source=gbs_api
0590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children,http://images.amazon.com/images/P/0590897985.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590897985.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0590897985.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=sNOL2J3zNVEC&hl=&source=gbs_api
0521427150,"Belonging in the Two Berlins : Kin"", State,"" Nation (Cambridge Studies in Social and Cultural Anthropology)",John Borneman,1992,Cambridge University Press,http://images.amazon.com/images/P/0521427150.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0521427150.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0521427150.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=iKUwCJVEplsC&hl=&source=gbs_api
0671742566,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket,http://images.amazon.com/images/P/0671742566.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671742566.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671742566.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=7c3k81tT6C4C&hl=&source=gbs_api
0515122408,The Cat Who Tailed a Thief,Lilian Jackson Braun,1998,Jove Books,http://images.amazon.com/images/P/0515122408.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515122408.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0515122408.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=4cCSv4aU7igC&hl=&source=gbs_api
068983571X,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,2000,Aladdin,http://images.amazon.com/images/P/068983571X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068983571X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/068983571X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=x8MXzKzGCGUC&hl=&source=gbs_api
0140065172,Ordinary People,Judith Guest,1993,Penguin Books,http://images.amazon.com/images/P/0140065172.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140065172.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0140065172.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=Y0c8ekK-JfMC&hl=&source=gbs_api
0590225170,The Real Mother Goose,Blanche Fisher Wright,1994,Scholastic,http://images.amazon.com/images/P/0590225170.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590225170.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0590225170.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=wLdTxADbn-UC&hl=&source=gbs_api
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner,http://images.amazon.com/images/P/0671510053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=k8L0u82qt68C&hl=&source=gbs_api
0684801469,Farewell To Arms,Ernest Hemingway,1995,Scribner,http://images.amazon.com/images/P/0684801469.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684801469.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0684801469.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=288OEAAAQBAJ&hl=&source=gbs_api
0872203492,Plato Complete Works,Plato,1997,Hackett Publishing Company,http://images.amazon.com/images/P/0872203492.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0872203492.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0872203492.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=eSKTvJDrr5kC&hl=&source=gbs_api
039592720X,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,http://images.amazon.com/images/P/039592720X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039592720X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=w4bZtp8Azw8C&hl=&source=gbs_api
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=1P0aOAugUHkC&hl=&source=gbs_api
0689715625,Black Gold,Marguerite Henry,1992,Aladdin,http://images.amazon.com/images/P/0689715625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689715625.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0689715625.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=VOqRdxbX6NsC&hl=&source=gbs_api
0684831058,DANCING AT THE RASCAL FAIR,Ivan Doig,1996,Scribner,http://images.amazon.com/images/P/0684831058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684831058.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0684831058.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=bWMb4zfNTf8C&hl=&source=gbs_api
0140042520,Dharma Bums,Jack Kerouac,1991,Penguin Books,http://images.amazon.com/images/P/0140042520.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140042520.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0140042520.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=-oBPEAAAQBAJ&hl=&source=gbs_api
0915950839,How to Get Your Kid to Eat but Not Too Much,Ellyn Satter,1987,Bull Publishing Company,http://images.amazon.com/images/P/0915950839.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0915950839.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0915950839.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=HWI9BQAAQBAJ&hl=&source=gbs_api
0029087104,HISTORY OF THE SOUTHERN CONFEDERACY,Clement Eaton,1965,Free Press,http://images.amazon.com/images/P/0029087104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0029087104.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0029087104.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=2EaJZ0zs5EYC&hl=&source=gbs_api
068986020X,Gingerbread,Rachel Cohn,2003,Simon Pulse,http://images.amazon.com/images/P/068986020X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068986020X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/068986020X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=vrTEAwAAQBAJ&hl=&source=gbs_api
0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket,http://images.amazon.com/images/P/0671028375.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671028375.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=UD8Ty5i4AmAC&hl=&source=gbs_api
0671038184,Jewel,Bret Lott,1999,Washington Square Press,http://images.amazon.com/images/P/0671038184.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671038184.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671038184.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=Ebn5rMH81mkC&hl=&source=gbs_api
0486203077,Tales of Terror and the Supernatural,Wilkie Collins,1972,Dover Publications,http://images.amazon.com/images/P/0486203077.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486203077.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486203077.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=_UZQEkcbSzsC&hl=&source=gbs_api
0618074716,The Hallelujah Side,Rhoda Huffey,2000,Mariner Books,http://images.amazon.com/images/P/0618074716.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0618074716.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0618074716.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=xWQF-bLgPpsC&hl=&source=gbs_api
1558612815,Allegra Maud Goldman,Edith Konecky,2001,Feminist Press,http://images.amazon.com/images/P/1558612815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558612815.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1558612815.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=Zk7XgZevuWYC&hl=&source=gbs_api
